"Ref","DeletionMark","Icon","isIconSet","Description_en","Description_hash","Description_ru","Description_tr","UniqueID"
"e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf13dc8cb47e9","False","ValueStorage","False","Brand Socks","","","Brand Socks TR","_4a1c7551a8d2430e9bbd08a786fc9c31"
"e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf13dc8cb47e8","False","ValueStorage","False","Color Socks","","","Color Socks TR","_51d5bf741df34c5c81b30e019f7cbb68"
"e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf13dc8cb47cf","False","ValueStorage","False","","","","Chewing gum brand","_5a867325afff46cfa55f52f52582b7d3"
"e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf13dc8cb47de","False","ValueStorage","False","","","","Taste TR","_8e339cb0838943819916f6e63d8fc363"
"e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf13dc8cb47ce","False","ValueStorage","False","","","","Chewing gum taste","_95cd1e91718f43fb8eee217080a11752"
"e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf128cde918b7","False","ValueStorage","False","Test","","","Test TR","_a154"
"e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf11c17ff4363","False","ValueStorage","False","Service type","","","Service type TR","_f4e24b6966a54052a692d3846b81e8e7"
"e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf116b32709a8","False","ValueStorage","False","Business region","","","Business region TR","BusinessRegion"
"e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef034","False","ValueStorage","False","Color","","","Color TR","Color1"
"e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef033","False","ValueStorage","False","Size","","","Size TR","Size1"
"e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef030","False","ValueStorage","False","Type","","","Type TR","V123445"
"e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef031","False","ValueStorage","True","Brand","","","Brand TR","V123446"
"e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef032","False","ValueStorage","False","Producer","","","Producer TR","V123447"
"e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef035","False","ValueStorage","False","Article","","","Article TR","V123448"
"e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef036","False","ValueStorage","False","Country of consignment","","","Country of consignment TR","V123449"
"e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef037","False","ValueStorage","False","Season","","","Season TR","V123450"
