"Ref","Key","Item","Attribute","Value"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf115bcc9c60c","04a88de2-7461-44d6-9c33-df78b6841ebd","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f0","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef033","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf114c59ef038"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf115bcc9c60c","04a88de2-7461-44d6-9c33-df78b6841ebd","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f0","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef034","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5db"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf115bcc9c60c","e98df593-1200-46cb-87f5-416aa22ec470","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f0","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef033","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf114c59ef039"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf115bcc9c60c","e98df593-1200-46cb-87f5-416aa22ec470","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f0","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef034","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5dc"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf115bcc9c60c","6981aa73-27a4-42fe-9e9c-c51651a2d907","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f0","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef033","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf114c59ef03a"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf115bcc9c60c","6981aa73-27a4-42fe-9e9c-c51651a2d907","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f0","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef034","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5dd"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf115bcc9c60c","c4119074-f627-4552-8a98-ce9b4d0d4dd9","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f0","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef033","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf114c59ef03b"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf115bcc9c60c","c4119074-f627-4552-8a98-ce9b4d0d4dd9","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f0","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef034","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5e0"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf115bcc9c60d","44d04502-4d2a-4bd8-a3c8-cef0fbdd7695","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f2","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef033","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5d7"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf115bcc9c60d","44d04502-4d2a-4bd8-a3c8-cef0fbdd7695","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f2","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef037","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5e2"
