"Ref","DeletionMark","Parent","IsFolder","Type","UseSerialLotNumber","Description_en","Description_hash","Description_ru","Description_tr","UniqueID"
"e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf13dc8cb47ee","False","","True","","","Accessories","","","Accessories TR","_6da1532bef3f4f93b6c51881f2c0a6b2"
"e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f0","False","","False","Enum.ItemTypes.Product","False","Clothes","","","Clothes TR","_73585f90e829490c95f07908375e6693"
"e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f1","False","","False","Enum.ItemTypes.Product","False","Box","","","Box TR","_d54c3bde31644e0996c2520ebc76f51f"
"e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f2","False","","False","Enum.ItemTypes.Product","False","Shoes","","","Shoes TR","_a6581c44d447493ca094d5ddc36f71b4"
"e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf11c17ff4364","False","","False","Enum.ItemTypes.Service","False","Service","","","Service TR","_a424fa9f74084f989d38cb397d5a646d"
"e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf11c17ff436c","False","","False","Enum.ItemTypes.Product","False","Equipment","","","","_a7581dc7c3a94e3da5e0cab46f2f0414"
"e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf1277d18ed8a","False","","False","Enum.ItemTypes.Product","False","Bags","","","Bags TR","_452e2854d9bc4ed79cc2052cea443c76"
"e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf13dc8cb47d0","False","","False","Enum.ItemTypes.Product","False","","","","Chewing gum","_c603ce453a6b492293d2c159a694672e"
"e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf13dc8cb47df","False","","False","Enum.ItemTypes.Product","False","","","","Candy TR","_a301d667519347b5945a0e9841f7c1c7"
"e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf13dc8cb47e7","False","","False","Enum.ItemTypes.Product","False","Socks","","","Warm Socks TR","_f7d4462bc7914c2a99194bd68f5005b9"
"e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf13dc8cb47ef","False","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf13dc8cb47ee","False","Enum.ItemTypes.Product","False","Earrings","","","Earrings TR","_a89189722e124d23bbcdca289485beb6"
